time,BTC.D
1396310400,99.38
1396396800,99.34
1396483200,99.4
1396569600,99.41
1396656000,99.46
1396742400,99.43
1396828800,99.42
1396915200,99.43
1397001600,99.43
1397088000,99.47
1397174400,99.4
1397260800,99.43
1397347200,99.44
1397433600,99.4
1397520000,99.38
1397606400,99.3
1397692800,99.27
1397779200,99.29
1397865600,99.21
1397952000,99.22
1398038400,99.27
1398124800,99.27
1398211200,99.28
1398297600,99.3
1398384000,99.28
1398470400,99.31
1398556800,99.24
1398643200,99.26
1398729600,99.21
1398816000,99.24
1398902400,99.2
1398988800,99.22
1399075200,99.28
1399161600,99.24
1399248000,99.27
1399334400,99.25
1399420800,99.23
1399507200,99.24
1399593600,99.19
1399680000,99.19
1399766400,99.17
1399852800,99.17
1399939200,99.17
1400025600,99.09
1400112000,98.92
1400198400,99.01
1400284800,99.06
1400371200,98.92
1400457600,98.9
1400544000,98.95
1400630400,98.91
1400716800,98.77
1400803200,98.68
1400889600,98.76
1400976000,98.71
1401062400,98.94
1401148800,98.95
1401235200,99.18
1401321600,99.02
1401408000,99.05
1401494400,99.09
1401580800,98.91
1401667200,98.89
1401753600,98.96
1401840000,99.02
1401926400,99.15
1402012800,99.05
1402099200,99.12
1402185600,99.17
1402272000,99.16
1402358400,99.03
1402444800,99.06
1402531200,99.01
1402617600,99.01
1402704000,99.01
1402790400,99.03
1402876800,99.03
1402963200,99.06
1403049600,99.05
1403136000,99.01
1403222400,99.05
1403308800,99.11
1403395200,98.95
1403481600,98.94
1403568000,98.99
1403654400,99.06
1403740800,98.98
1403827200,99.01
1403913600,99.06
1404000000,99.07
1404086400,99.16
1404172800,99.23
1404259200,99.32
1404345600,99.23
1404432000,99.19
1404518400,99.27
1404604800,99.27
1404691200,99.27
1404777600,99.19
1404864000,99.2
1404950400,99.21
1405036800,99.23
1405123200,99.24
1405209600,99.26
1405296000,99.25
1405382400,99.24
1405468800,99.26
1405555200,99.17
1405641600,99.21
1405728000,99.23
1405814400,99.21
1405900800,99.23
1405987200,99.27
1406073600,99.27
1406160000,99.29
1406246400,99.29
1406332800,99.29
1406419200,99.3
1406505600,99.33
1406592000,99.35
1406678400,99.36
1406764800,99.33
1406851200,99.21
1406937600,99.26
1407024000,99.25
1407110400,99.29
1407196800,99.3
1407283200,99.31
1407369600,99.32
1407456000,99.33
1407542400,99.34
1407628800,99.34
1407715200,99.4
1407801600,99.39
1407888000,99.39
1407974400,99.38
1408060800,99.43
1408147200,99.15
1408233600,99.18
1408320000,99.28
1408406400,99.13
1408492800,98.98
1408579200,98.93
1408665600,98.64
1408752000,98.68
1408838400,98.59
1408924800,98.07
1409011200,98.39
1409097600,98.39
1409184000,98.46
1409270400,98.74
1409356800,98.57
1409443200,98.51
1409529600,98.58
1409616000,98.6
1409702400,98.39
1409788800,98.41
1409875200,98.4
1409961600,98.33
1410048000,98.35
1410134400,98.18
1410220800,98.19
1410307200,98.13
1410393600,98.13
1410480000,98.14
1410566400,98.08
1410652800,98.06
1410739200,98.11
1410825600,98.08
1410912000,98.12
1410998400,97.97
1411084800,97.92
1411171200,97.99
1411257600,98
1411344000,97.92
1411430400,97.99
1411516800,97.95
1411603200,97.88
1411689600,97.6
1411776000,97.67
1411862400,97.65
1411948800,97.67
1412035200,97.66
1412121600,97.71
1412208000,97.76
1412294400,97.74
1412380800,97.66
1412467200,97.68
1412553600,97.73
1412640000,97.78
1412726400,97.81
1412812800,97.95
1412899200,98.02
1412985600,98.01
1413072000,98.04
1413158400,98.08
1413244800,98.19
1413331200,98.24
1413417600,98.24
1413504000,98.25
1413590400,98.33
1413676800,98.39
1413763200,98.41
1413849600,98.31
1413936000,98.21
1414022400,98.28
1414108800,98.24
1414195200,98.23
1414281600,98.28
1414368000,98.28
1414454400,98.27
1414540800,98.32
1414627200,98.45
1414713600,98.49
1414800000,98.56
1414886400,98.48
1414972800,98.52
1415059200,98.51
1415145600,98.45
1415232000,98.5
1415318400,98.45
1415404800,98.28
1415491200,98.35
1415577600,98.44
1415664000,98.48
1415750400,98.6
1415836800,98.57
1415923200,98.55
1416009600,98.56
1416096000,98.58
1416182400,98.65
1416268800,98.7
1416355200,98.7
1416441600,98.71
1416528000,98.61
1416614400,98.59
1416700800,98.39
1416787200,98.45
1416873600,98.43
1416960000,98.47
1417046400,98.41
1417132800,98.41
1417219200,98.31
1417305600,98.36
1417392000,98.34
1417478400,98.33
1417564800,98.33
1417651200,98.36
1417737600,98.36
1417824000,98.43
1417910400,98.41
1417996800,98.45
1418083200,98.46
1418169600,98.5
1418256000,98.47
1418342400,98.38
1418428800,98.4
1418515200,98.4
1418601600,98.45
1418688000,98.52
1418774400,98.45
1418860800,98.45
1418947200,98.41
1419033600,98.4
1419120000,98.37
1419206400,98.36
1419292800,98.37
1419379200,98.35
1419465600,98.36
1419552000,98.35
1419638400,98.32
1419724800,98.34
1419811200,98.36
1419897600,98.39
1419984000,98.35
1420070400,98.34
1420156800,98.35
1420243200,98.33
1420329600,98.32
1420416000,98.33
1420761600,98.35
1420848000,98.34
1420934400,98.36
1421020800,98.4
1421107200,98.38
1421193600,98.28
1421280000,98.24
1421366400,98.25
1421452800,98.25
1421539200,98.31
1421625600,98.29
1421712000,98.24
1421798400,98.24
1421884800,98.23
1421971200,98.25
1422057600,98.26
1422144000,98.28
1422230400,98.39
1422316800,98.44
1422403200,98.41
1422489600,98.37
1422576000,98.36
1422662400,98.33
1422748800,98.31
1422835200,98.36
1422921600,98.36
1423008000,98.32
1423094400,98.31
1423180800,98.32
1423267200,98.33
1423353600,98.36
1423440000,98.29
1423526400,98.24
1423612800,98.16
1423699200,98.23
1423785600,98.33
1423872000,98.41
1423958400,98.35
1424044800,98.42
1424131200,98.43
1424217600,98.4
1424304000,98.38
1424390400,98.41
1424476800,98.44
1424563200,98.38
1424649600,98.37
1424736000,98.25
1424822400,98.27
1424908800,98.24
1424995200,98.28
1425081600,98.25
1425168000,98.25
1425254400,98.27
1425340800,98.38
1425427200,98.31
1425513600,98.34
1425600000,98.34
1425686400,98.34
1425772800,98.36
1425859200,98.37
1425945600,98.5
1426032000,98.53
1426118400,98.51
1426204800,98.54
1426291200,98.5
1426377600,98.49
1426464000,98.5
1426550400,98.47
1426636800,98.41
1426723200,98.38
1426809600,98.34
1426896000,98.23
1426982400,98.25
1427068800,98.21
1427155200,98.16
1427241600,98.1
1427328000,98.18
1427414400,98.11
1427500800,98.16
1427587200,98.18
1427673600,98.25
1427760000,98.29
1427846400,98.28
1427932800,98.24
1428019200,98.28
1428105600,98.32
1428192000,98.37
1428278400,98.41
1428364800,98.37
1428451200,98.36
1428537600,98.45
1428624000,98.46
1428710400,98.49
1428796800,98.51
1428883200,98.47
1428969600,98.49
1429056000,98.52
1429142400,98.51
1429228800,98.53
1429315200,98.5
1429401600,98.53
1429488000,98.53
1429574400,98.53
1429660800,98.5
1429747200,98.44
1429833600,98.52
1429920000,98.51
1430006400,98.5
1430092800,98.56
1430179200,98.6
1430265600,98.62
1430352000,98.67
1430438400,98.72
1430524800,98.71
1430611200,98.76
1430697600,98.77
1430784000,98.79
1430870400,98.75
1430956800,98.77
1431043200,98.77
1431129600,98.77
1431216000,98.78
1431302400,98.77
1431388800,98.69
1431475200,98.68
1431561600,98.62
1431648000,98.6
1431734400,98.6
1431820800,98.61
1431907200,98.61
1431993600,98.59
1432080000,98.57
1432166400,98.55
1432252800,98.49
1432339200,98.43
1432425600,98.43
1432512000,98.4
