time,BVIV
1663632000,76.32
1663718400,77.02
1663804800,75.24
1663891200,74.66
1663977600,73.52
1664064000,76.27
1664150400,76.88
1664236800,77.2
1664323200,79.6
1664409600,77.66
1664496000,74.2
1664582400,73.31
1664668800,77.53
1664755200,70.66
1664841600,71.72
1664928000,72.19
1665014400,70.75
1665100800,67.56
1665187200,66.07
1665273600,68.84
1665360000,70.5
1665446400,72.05
1665532800,71.7
1665619200,67.42
1665705600,64.53
1665792000,64.33
1665878400,64.55
1665964800,62.68
1666051200,63.75
1666137600,63.34
1666224000,63.16
1666310400,64.11
1666396800,64.2
1666483200,65.96
1666569600,66.4
1666656000,67.94
1666742400,68.24
1666828800,63.52
1666915200,56.95
1667001600,59.31
1667088000,61.74
1667174400,60.49
1667260800,61.54
1667347200,57.31
1667433600,54.97
1667520000,54.78
1667606400,56.29
1667692800,57.25
1667779200,59.86
1667865600,77.35
1667952000,105.07
1668038400,89.51
1668124800,94.75
1668211200,93.32
1668297600,96.62
1668384000,89.42
1668470400,83.24
1668556800,87.76
1668643200,81.3
1668729600,79.26
1668816000,76.86
1668902400,86.78
1668988800,87.43
1669075200,85.43
1669161600,80.11
1669248000,76.87
1669334400,69.98
1669420800,70.27
1669507200,71.87
1669593600,73.32
1669680000,70.04
1669766400,69.63
1669852800,65.54
1669939200,62.86
1670025600,65.1
1670112000,65.68
1670198400,63.65
1670284800,63.56
1670371200,65.94
1670457600,61.11
1670544000,65.15
1670630400,65.28
1670716800,67.7
1670803200,66.81
1670889600,65.25
1670976000,60.12
1671062400,62.89
1671148800,68.76
1671235200,67.48
1671321600,71.24
1671408000,68.64
1671494400,64.68
1671580800,63.47
1671667200,61.62
1671753600,59.19
1671840000,57.85
1671926400,58.95
1672012800,57.21
1672099200,58.1
1672185600,61.65
1672272000,58.66
1672358400,54.11
1672444800,51.94
1672531200,50.32
1672617600,52.59
1672704000,51.61
1672790400,48.59
1672876800,47.06
1672963200,45.71
1673049600,44.37
1673136000,45.82
1673222400,47.15
1673308800,47.97
1673395200,50.29
1673481600,54.32
1673568000,63.41
1673654400,75.62
1673740800,71.74
1673827200,67.63
1673913600,65.77
1674000000,65.76
1674086400,59.91
1674172800,61.69
1674259200,67.9
1674345600,64.55
1674432000,67.45
1674518400,64.07
1674604800,63.69
1674691200,59.82
1674777600,58.11
1674864000,57.4
1674950400,61.08
1675036800,58.69
1675123200,60.93
1675209600,59.94
1675296000,59.7
1675382400,55.95
1675468800,56.51
1675555200,57.69
1675641600,56.93
1675728000,55.73
1675814400,55.45
1675900800,55.15
1675987200,51.72
1676073600,49.96
1676160000,49.76
1676246400,53.11
1676332800,51.44
1676419200,55.16
1676505600,61.31
1676592000,63.33
1676678400,61.37
1676764800,62.3
1676851200,63.16
1676937600,63.81
1677024000,59.14
1677110400,57.03
1677196800,52.45
1677283200,52.13
1677369600,52.92
1677456000,52.41
1677542400,52.18
1677628800,56.05
1677715200,55.9
1677801600,54.05
1677888000,54.26
1677974400,52.83
1678060800,53.77
1678147200,53.58
1678233600,52.68
1678320000,56.7
1678406400,56.93
1678492800,63.39
1678579200,63.92
1678665600,65.49
1678752000,66.84
1678838400,67.52
1678924800,65.44
1679011200,70.01
1679097600,71.14
1679184000,76.32
1679270400,71.32
1679356800,73.5
1679443200,67.4
1679529600,69.64
1679616000,68.67
1679702400,65.26
1679788800,66.9
1679875200,66.46
1679961600,64.02
1680048000,67.98
1680134400,66.32
1680220800,62.16
1680307200,61.77
1680393600,63
1680480000,64.94
1680566400,62.65
1680652800,60.85
1680739200,60.08
1680825600,57.43
1680912000,58.26
1680998400,61.37
1681084800,65.15
1681171200,62.69
1681257600,58.67
1681344000,58.24
1681430400,56.32
1681516800,56.37
1681603200,58.92
1681689600,58.46
1681776000,58.27
1681862400,58.3
1681948800,58.94
1682035200,57.64
1682121600,57.81
1682208000,57.59
1682294400,56.27
1682380800,56.36
1682467200,58.93
1682553600,58.56
1682640000,54
1682726400,53.75
1682812800,55.97
1682899200,56.29
1682985600,56.7
1683072000,56.01
1683158400,54.32
1683244800,54.08
1683331200,53.24
1683417600,54.07
1683504000,54.07
1683590400,54.8
1683676800,53.53
1683763200,55.01
1683849600,53.19
1683936000,51.24
1684022400,51
1684108800,54.8
1684195200,52.9
1684281600,52.6
1684368000,49.9
1684454400,49.28
1684540800,49.07
1684627200,49.79
1684713600,50.46
1684800000,52.96
1684886400,54.37
1684972800,51.46
1685059200,48.5
1685145600,46.86
1685232000,53.25
1685318400,50.61
1685404800,48.33
1685491200,47.8
1685577600,46.07
1685664000,45.42
1685750400,44.2
1685836800,45.77
1685923200,43.27
1686009600,46.62
1686096000,47.9
1686182400,44.37
1686268800,43.63
1686355200,46.33
1686441600,45.83
1686528000,49.64
1686614400,48.28
1686700800,48.35
1686787200,50.96
1686873600,48.44
1686960000,45.81
1687046400,48.34
1687132800,47.81
1687219200,55.97
1687305600,58.79
1687392000,54.67
1687478400,56.04
1687564800,52.78
1687651200,53.03
1687737600,52.77
1687824000,51.56
1687910400,50.92
1687996800,46.63
1688083200,48.02
1688169600,48.44
1688256000,49.84
1688342400,51.28
1688428800,48.82
1688515200,48.65
1688601600,50.42
1688688000,47.37
1688774400,46.34
1688860800,46.17
1688947200,46.54
1689033600,46.11
1689120000,43.26
1689206400,47.8
1689292800,44.14
1689379200,45.48
1689465600,44.5
1689552000,45.18
1689638400,45.12
1689724800,42.47
1689811200,43.84
1689897600,41.13
1689984000,41.12
1690070400,41.37
1690156800,40.74
1690243200,40.17
1690329600,40.91
1690416000,38.58
1690502400,38.04
1690588800,37.59
1690675200,39.21
1690761600,39.69
1690848000,39.51
1690934400,39.1
1691020800,38.63
1691107200,36.54
1691193600,36.37
1691280000,36.73
1691366400,39.05
1691452800,43.1
1691539200,41.29
1691625600,39.43
1691712000,35.18
1691798400,34.7
1691884800,36.27
1691971200,37.42
1692057600,37.27
1692144000,39.19
1692230400,54.66
1692316800,46.52
1692403200,46.08
1692489600,46.41
1692576000,46.07
1692662400,45.43
1692748800,46.96
1692835200,45.1
1692921600,39.07
1693008000,38.26
1693094400,38.86
1693180800,38.96
1693267200,43.35
1693353600,40.45
1693440000,38.43
1693526400,38.46
1693612800,37.55
1693699200,40.04
1693785600,40.95
1693872000,42.4
1693958400,41.93
1694044800,42.51
1694131200,42.79
1694217600,42.49
1694304000,43.51
1694390400,47.2
1694476800,46.23
1694563200,46.77
1694649600,45.03
1694736000,41.21
1694822400,41.3
1694908800,41.63
1694995200,43.31
1695081600,44.21
1695168000,45.03
1695254400,45.06
1695340800,39.49
1695427200,39.84
1695513600,41.03
1695600000,41.41
1695686400,41.82
1695772800,39.43
1695859200,41.37
1695945600,35.7
1696032000,38.44
1696118400,39.8
1696204800,40.61
1696291200,40.2
1696377600,40
1696464000,38.72
1696550400,37.48
1696636800,39.55
1696723200,40.03
1696809600,39.32
1696896000,41.17
1696982400,40.55
1697068800,39.61
1697155200,37.93
1697241600,38.71
1697328000,40.2
1697414400,45.1
1697500800,43.31
1697587200,42.22
1697673600,41.56
1697760000,46.73
1697846400,48.58
1697932800,51.7
1698019200,59.17
1698105600,57.7
