time,M2
1396310400,63.16
1396396800,63.08
1396483200,63
1396569600,63.06
1396656000,63.06
1396742400,63.06
1396828800,63.15
1396915200,63.41
1397001600,63.47
1397088000,63.5
1397174400,63.43
1397260800,63.43
1397347200,63.43
1397433600,63.31
1397520000,63.28
1397606400,63.29
1397692800,63.27
1397779200,63.24
1397865600,63.24
1397952000,63.24
1398038400,63.21
1398124800,63.2
1398211200,63.2
1398297600,63.21
1398384000,63.18
1398470400,63.18
1398556800,63.18
1398643200,63.21
1398729600,63.15
1398816000,63.57
1398902400,63.56
1398988800,63.57
1399075200,63.57
1399161600,63.57
1399248000,63.64
1399334400,63.84
1399420800,63.78
1399507200,63.75
1399593600,63.62
1399680000,63.62
1399766400,63.62
1399852800,63.59
1399939200,63.53
1400025600,63.57
1400112000,63.59
1400198400,63.58
1400284800,63.58
1400371200,63.58
1400457600,63.61
1400544000,63.61
1400630400,63.63
1400716800,63.56
1400803200,63.49
1400889600,63.49
1400976000,63.49
1401062400,63.52
1401148800,63.43
1401235200,63.44
1401321600,63.47
1401408000,63.63
1401494400,63.79
1401580800,63.79
1401667200,63.7
1401753600,63.69
1401840000,63.63
1401926400,63.76
1402012800,63.74
1402099200,63.74
1402185600,63.74
1402272000,63.75
1402358400,63.72
1402444800,63.76
1402531200,63.88
1402617600,63.85
1402704000,63.85
1402790400,63.85
1402876800,63.86
1402963200,63.77
1403049600,63.86
1403136000,63.9
1403222400,63.85
1403308800,63.85
1403395200,63.85
1403481600,63.92
1403568000,63.89
1403654400,63.94
1403740800,63.95
1403827200,64.06
1403913600,64.06
1404000000,64.06
1404086400,64.76
1404172800,64.76
1404259200,64.68
1404345600,64.59
1404432000,64.56
1404518400,64.56
1404604800,64.56
1404691200,64.61
1404777600,64.66
1404864000,64.72
1404950400,64.7
1405036800,64.65
1405123200,64.65
1405209600,64.65
1405296000,64.66
1405382400,64.58
1405468800,64.54
1405555200,64.54
1405641600,64.51
1405728000,64.51
1405814400,64.51
1405900800,64.51
1405987200,64.5
1406073600,64.49
1406160000,64.48
1406246400,64.42
1406332800,64.42
1406419200,64.42
1406505600,64.45
1406592000,64.39
1406678400,64.33
1406764800,64.2
1406851200,64.2
1406937600,64.2
1407024000,64.2
1407110400,64.21
1407196800,64.18
1407283200,64.24
1407369600,64.21
1407456000,64.26
1407542400,64.26
1407628800,64.26
1407715200,64.25
1407801600,64.23
1407888000,64.2
1407974400,64.23
1408060800,64.26
1408147200,64.26
1408233600,64.26
1408320000,64.25
1408406400,64.14
1408492800,64.01
1408579200,64
1408665600,63.92
1408752000,63.92
1408838400,63.92
1408924800,63.84
1409011200,63.86
1409097600,63.95
1409184000,63.92
1409270400,63.88
1409356800,63.88
1409443200,64
1409529600,63.99
1409616000,63.86
1409702400,63.98
1409788800,63.7
1409875200,63.68
1409961600,63.68
1410048000,63.68
1410134400,63.52
1410220800,63.52
1410307200,63.49
1410393600,63.47
1410480000,63.41
1410566400,63.41
1410652800,63.41
1410739200,63.38
1410825600,63.42
1410912000,63.21
1410998400,63.27
1411084800,63.11
1411171200,63.11
1411257600,63.11
1411344000,63.15
1411430400,63.14
1411516800,63.09
1411603200,63.03
1411689600,62.9
1411776000,62.9
1411862400,62.9
1411948800,62.81
1412035200,63
1412121600,63.02
1412208000,63.12
1412294400,62.76
1412380800,62.76
1412467200,62.76
1412553600,63.08
1412640000,63.14
1412726400,63.25
1412812800,63.23
1412899200,63.11
1412985600,63.11
1413072000,63.11
1413158400,63.36
1413244800,63.18
1413331200,63.47
1413417600,63.43
1413504000,63.32
1413590400,63.32
1413676800,63.32
1413763200,63.4
1413849600,63.29
1413936000,63.2
1414022400,63.09
1414108800,63.13
1414195200,63.13
1414281600,63.13
1414368000,63.19
1414454400,63.26
1414540800,63.07
1414627200,63.06
1414713600,62.71
1414800000,62.71
1414886400,62.71
1414972800,62.52
1415059200,62.63
1415145600,62.46
1415232000,62.24
1415318400,62.34
1415404800,62.34
1415491200,62.34
1415577600,62.32
1415664000,62.29
1415750400,62.28
1415836800,62.24
1415923200,62.21
1416009600,62.21
1416096000,62.21
1416182400,62.13
1416268800,62.22
1416355200,62.18
1416441600,62.16
1416528000,62.05
1416614400,62.05
1416700800,62.05
1416787200,62.02
1416873600,62.08
1416960000,62.13
1417046400,62.03
1417132800,61.87
1417219200,61.87
1417305600,62.27
1417392000,62.29
1417478400,62.09
1417564800,61.99
1417651200,62.05
1417737600,61.81
1417824000,61.81
1417910400,61.81
1417996800,61.81
1418083200,61.89
1418169600,62.11
1418256000,61.93
1418342400,61.95
1418428800,61.95
1418515200,61.95
1418601600,61.86
1418688000,62.02
1418774400,61.71
1418860800,61.63
1418947200,61.51
1419033600,61.51
1419120000,61.51
1419206400,61.51
1419292800,61.35
1419379200,61.42
1419465600,61.47
1419552000,61.43
1419638400,61.43
1419724800,61.43
1419811200,61.31
1419897600,61.5
1419984000,62.09
1420070400,62.11
1420156800,61.85
1420243200,61.85
1420329600,61.85
1420416000,61.74
1420761600,61.76
1420848000,61.76
1420934400,61.76
1421020800,61.77
1421107200,61.73
1421193600,61.82
1421280000,61.95
1421366400,61.7
1421452800,61.7
1421539200,61.7
1421625600,61.65
1421712000,61.55
1421798400,61.67
1421884800,61.39
1421971200,61.2
1422057600,61.2
1422144000,61.2
1422230400,61.06
1422316800,61.31
1422403200,61.19
1422489600,61.08
1422576000,61.03
1422662400,61.44
1422748800,61.44
1422835200,61.49
1422921600,61.72
1423008000,61.58
1423094400,61.75
1423180800,61.45
1423267200,61.45
