time,v
8/2/2010,5.736477
8/6/2010,6.15426
8/9/2010,7.150615
8/16/2010,6.734928
8/18/2010,7.119484
8/24/2010,6.889382
8/29/2010,6.920929
8/30/2010,7.183173
8/31/2010,6.690489
9/1/2010,7.14263
9/5/2010,7.244182
9/9/2010,7.296486
9/12/2010,7.496616
9/14/2010,7.699863
9/18/2010,7.576294
9/27/2010,7.7713
9/28/2010,7.664702
10/1/2010,7.663291
10/2/2010,7.392715
10/3/2010,7.410591
10/13/2010,8.042869
10/18/2010,6.095318
10/21/2010,5.382777
10/23/2010,4.686613
11/8/2010,5.503633
11/15/2010,4.383812
11/19/2010,3.740295
11/20/2010,3.326246
11/21/2010,2.948101
11/22/2010,2.83379
11/23/2010,2.643301
11/24/2010,2.515445
11/26/2010,2.41922
11/27/2010,2.322473
11/29/2010,1.741163
11/30/2010,1.499457
12/1/2010,1.697462
12/2/2010,1.954774
12/3/2010,1.89268
12/4/2010,1.413573
12/5/2010,1.393906
12/6/2010,1.399788
12/7/2010,1.698469
12/8/2010,1.746371
12/9/2010,1.340918
12/10/2010,1.388407
12/11/2010,1.640852
12/12/2010,1.554169
12/13/2010,1.632244
12/14/2010,1.827661
12/15/2010,1.74795
12/16/2010,1.845045
12/17/2010,1.763088
12/18/2010,1.741169
12/19/2010,1.729714
12/20/2010,1.99599
12/21/2010,1.710046
12/22/2010,1.796526
12/23/2010,1.792116
12/24/2010,1.768303
12/25/2010,1.784894
12/26/2010,1.935792
12/27/2010,1.926351
12/28/2010,2.082762
12/29/2010,2.248422
12/30/2010,2.226607
12/31/2010,2.208091
1/1/2011,2.191153
1/2/2011,2.171965
1/3/2011,2.107728
1/4/2011,2.134744
1/5/2011,2.12177
1/6/2011,2.101249
1/7/2011,2.299949
1/8/2011,2.307331
1/9/2011,2.289166
1/10/2011,2.296578
1/11/2011,2.259825
1/12/2011,2.171353
1/13/2011,2.139481
1/14/2011,2.86689
1/15/2011,2.689972
1/16/2011,2.650954
1/17/2011,2.285898
1/18/2011,1.946309
1/19/2011,1.93426
1/20/2011,2.600918
1/21/2011,2.817337
1/22/2011,2.931603
1/23/2011,2.883818
1/24/2011,2.646117
1/25/2011,2.531143
1/26/2011,2.408984
1/27/2011,2.425128
1/28/2011,2.5748
1/29/2011,2.487526
1/30/2011,2.742826
1/31/2011,3.027926
2/1/2011,4.148626
2/2/2011,4.015171
2/3/2011,3.632913
2/4/2011,4.141687
2/5/2011,4.415147
2/6/2011,4.078424
2/7/2011,3.797818
2/8/2011,3.759631
2/9/2011,3.995315
2/10/2011,3.645713
2/11/2011,3.779653
2/12/2011,3.707455
2/13/2011,3.448857
2/14/2011,3.380375
2/15/2011,3.199536
2/16/2011,3.045627
2/17/2011,2.997204
2/18/2011,2.450996
2/19/2011,2.568475
2/20/2011,2.26311
2/21/2011,2.142016
2/22/2011,2.257974
2/23/2011,2.309858
2/24/2011,2.567932
2/25/2011,2.294023
2/26/2011,2.398524
2/27/2011,2.164267
2/28/2011,2.030099
3/1/2011,2.108035
3/2/2011,2.144053
3/3/2011,2.12068
3/4/2011,1.984742
3/5/2011,1.988924
3/6/2011,1.90542
3/7/2011,1.873766
3/8/2011,1.827008
3/9/2011,1.800135
3/10/2011,1.973397
3/11/2011,1.83896
3/12/2011,1.936565
3/13/2011,1.847421
3/14/2011,1.836421
3/15/2011,1.761245
3/16/2011,1.68488
3/17/2011,1.600925
3/18/2011,1.528482
3/19/2011,1.416051
3/20/2011,1.345391
3/21/2011,1.396534
3/22/2011,1.543121
3/23/2011,1.660406
3/24/2011,1.715033
3/25/2011,1.742867
3/26/2011,1.646982
3/27/2011,1.544381
3/28/2011,1.461427
3/29/2011,1.453749
3/30/2011,1.444719
3/31/2011,1.428777
4/1/2011,1.39661
4/2/2011,1.420589
4/3/2011,1.411057
4/4/2011,1.109586
4/5/2011,1.218112
4/6/2011,1.29232
4/7/2011,1.334136
4/8/2011,1.322466
4/9/2011,1.274705
4/10/2011,1.273051
4/11/2011,1.385166
4/12/2011,1.658178
4/13/2011,1.858642
4/14/2011,2.04947
4/15/2011,1.985732
4/16/2011,2.156938
4/17/2011,2.286552
4/18/2011,2.40587
4/19/2011,2.474432
4/20/2011,2.326321
4/21/2011,2.485527
4/22/2011,2.986457
4/23/2011,4.011644
4/24/2011,3.376876
4/25/2011,3.128839
4/26/2011,3.566503
4/27/2011,3.778222
4/28/2011,4.495271
4/29/2011,5.165731
4/30/2011,5.858289
5/1/2011,4.71606
5/2/2011,4.62768
5/3/2011,4.611104
5/4/2011,4.378997
5/5/2011,4.075967
5/6/2011,4.02788
5/7/2011,4.104017
5/8/2011,4.17252
5/9/2011,3.935086
5/10/2011,5.68021
5/11/2011,5.018053
5/12/2011,5.460361
5/13/2011,6.333908
5/14/2011,4.926817
5/15/2011,4.541153
5/16/2011,4.887118
5/17/2011,4.181124
5/18/2011,3.670059
5/19/2011,3.614282
5/20/2011,2.697355
5/21/2011,2.952029
5/22/2011,3.238171
5/23/2011,3.346209
5/24/2011,3.430625
5/25/2011,3.942401
5/26/2011,3.890711
5/27/2011,3.578874
5/28/2011,3.378498
5/29/2011,3.306709
5/30/2011,3.384521
5/31/2011,3.257184
6/1/2011,3.560582
6/2/2011,3.882355
6/3/2011,5.046112
6/4/2011,6.077965
6/5/2011,5.020567
6/6/2011,5.12756
6/7/2011,6.068255
6/8/2011,6.716771
6/9/2011,5.940515
6/10/2011,4.460974
6/11/2011,2.296304
6/12/2011,3.016553
6/13/2011,3.047899
6/14/2011,2.830694
6/15/2011,2.730851
6/16/2011,2.350889
6/17/2011,1.817549
6/18/2011,2.067034
6/19/2011,2.144661
6/20/2011,2.10726
6/21/2011,2.066051
6/22/2011,2.036577
6/23/2011,2.007336
6/24/2011,1.976857
6/25/2011,1.950905
6/26/2011,1.719761
6/27/2011,1.752673
6/28/2011,1.760979
6/29/2011,1.719356
6/30/2011,1.581734
7/1/2011,1.44254
7/2/2011,1.428978
7/3/2011,1.431219
7/4/2011,1.157158
7/5/2011,1.000049
7/6/2011,1.289931
7/7/2011,1.295862
7/8/2011,1.207434
7/9/2011,1.216545
7/10/2011,1.24579
7/11/2011,1.187709
7/12/2011,1.134927
7/13/2011,1.122009
7/14/2011,1.121969
7/15/2011,1.08658
7/16/2011,1.068196
7/17/2011,0.99069
7/18/2011,1.085966
7/19/2011,1.112407
7/20/2011,1.097785
7/21/2011,1.084247
7/22/2011,1.095742
7/23/2011,1.089892
7/24/2011,1.136235
7/25/2011,1.13878
7/26/2011,1.110279
7/27/2011,1.10665
7/28/2011,1.04368
7/29/2011,1.044194
7/30/2011,1.045154
7/31/2011,1.017295
8/1/2011,0.960322
8/2/2011,0.831446
8/3/2011,0.374384
8/4/2011,0.612076
8/5/2011,0.449253
8/6/2011,0.019782
8/7/2011,0.269772
8/8/2011,0.170381
8/9/2011,0.497802
8/10/2011,0.538188
8/11/2011,0.440874
8/12/2011,0.443877
8/13/2011,0.533543
8/14/2011,0.663562
8/15/2011,0.715184
8/16/2011,0.690996
8/17/2011,0.684977
8/18/2011,0.667104
8/19/2011,0.79854
8/20/2011,0.763001
8/21/2011,0.745604
8/22/2011,0.674377
8/23/2011,0.674459
8/24/2011,0.66661
8/25/2011,0.440576
8/26/2011,0.206285
8/27/2011,0.347692
8/28/2011,0.419579
8/29/2011,0.407464
8/30/2011,0.383361
8/31/2011,0.283072
9/1/2011,0.290769
9/2/2011,0.355406
9/3/2011,0.327217
9/4/2011,0.287088
9/5/2011,0.187379
9/6/2011,0.064187
9/7/2011,0.119186
9/8/2011,0.040776
9/9/2011,-0.242354
9/10/2011,-0.282341
9/11/2011,-0.050535
9/12/2011,-0.007628
9/13/2011,-0.054006
9/14/2011,-0.088114
9/15/2011,-0.211641
9/16/2011,-0.216073
9/17/2011,-0.225161
9/18/2011,-0.145296
9/19/2011,-0.095073
9/20/2011,0.014311
9/21/2011,-0.080733
9/22/2011,-0.100302
9/23/2011,-0.084217
9/24/2011,-0.102421
9/25/2011,-0.116721
9/26/2011,-0.198382
9/27/2011,-0.19128
9/28/2011,-0.216866
9/29/2011,-0.214102
9/30/2011,-0.149172
10/1/2011,-0.167269
10/2/2011,-0.170897
10/3/2011,-0.167355
10/4/2011,-0.178747
10/5/2011,-0.191068
10/6/2011,-0.21864
10/7/2011,-0.298524
10/8/2011,-0.351232
10/9/2011,-0.32633
10/10/2011,-0.331663
10/11/2011,-0.342171
10/12/2011,-0.311919
10/13/2011,-0.335233
10/14/2011,-0.343373
10/15/2011,-0.370463
10/16/2011,-0.412013
10/17/2011,-0.59566
10/18/2011,-0.62255
10/19/2011,-0.655216
10/20/2011,-0.628628
10/21/2011,-0.588835
10/22/2011,-0.478686
10/23/2011,-0.480288
10/24/2011,-0.596405
10/25/2011,-0.544081
10/26/2011,-0.545509
10/27/2011,-0.495624
10/28/2011,-0.471174
10/29/2011,-0.397784
10/30/2011,-0.457368
10/31/2011,-0.455906
11/1/2011,-0.473709
11/2/2011,-0.455756
11/3/2011,-0.472757
11/4/2011,-0.48172
11/5/2011,-0.509084
11/6/2011,-0.512331
11/7/2011,-0.501881
11/8/2011,-0.493493
11/9/2011,-0.487913
11/10/2011,-0.500225
11/11/2011,-0.458751
11/12/2011,-0.467534
11/13/2011,-0.475469
11/14/2011,-0.62296
11/15/2011,-0.60352
11/16/2011,-0.494716
11/17/2011,-0.542941
11/18/2011,-0.568439
11/19/2011,-0.549991
11/20/2011,-0.549571
11/21/2011,-0.534838
11/22/2011,-0.526311
11/23/2011,-0.524568
11/24/2011,-0.504771
11/25/2011,-0.493991
11/26/2011,-0.49535
11/27/2011,-0.494448
11/28/2011,-0.471586
11/29/2011,-0.431731
11/30/2011,-0.393507
12/1/2011,-0.371725
12/2/2011,-0.368719
12/3/2011,-0.425104
12/4/2011,-0.42247
12/5/2011,-0.411438
12/6/2011,-0.382605
12/7/2011,-0.385394
12/8/2011,-0.384923
12/9/2011,-0.392316
12/10/2011,-0.369853
12/11/2011,-0.335055
12/12/2011,-0.348679
12/13/2011,-0.338046
12/14/2011,-0.35481
12/15/2011,-0.345413
12/16/2011,-0.344709
12/17/2011,-0.348406
12/18/2011,-0.348338
12/19/2011,-0.280865
12/20/2011,-0.19469
12/21/2011,-0.209437
12/22/2011,-0.207814
12/23/2011,-0.201642
12/24/2011,-0.201452
12/25/2011,-0.138903
12/26/2011,-0.189732
12/27/2011,-0.170046
12/28/2011,-0.147254
12/29/2011,-0.154921
12/30/2011,-0.126472
12/31/2011,-0.041288
1/1/2012,0.08134
1/2/2012,0.063315
1/3/2012,-0.010013
1/4/2012,0.141264
1/5/2012,0.409855
1/6/2012,0.362939
1/7/2012,0.384988
1/8/2012,0.446902
1/9/2012,0.266583
1/10/2012,0.31942
1/11/2012,0.395972
1/12/2012,0.365117
1/13/2012,0.293563
1/14/2012,0.359507
1/15/2012,0.421606
1/16/2012,0.346834
1/17/2012,0.10144
1/18/2012,0.169224
1/19/2012,0.258626
1/20/2012,0.299626
1/21/2012,0.22792
1/22/2012,0.255245
1/23/2012,0.270906
1/24/2012,0.247986
1/25/2012,0.144614
1/26/2012,0.047806
1/27/2012,0.035361
1/28/2012,0.116528
1/29/2012,0.05693
1/30/2012,0.083138
1/31/2012,0.092484
2/1/2012,0.213119
