time,ExchangeNetflow
1514764800,60389.0923
1514851200,109369.3155
1514937600,83206.22699
1515024000,98097.68109
1515110400,113968.3357
1515196800,72013.46727
1515283200,74433.648
1515369600,127656.3703
1515456000,90633.56461
1515542400,117553.0559
1515628800,148302.2304
1515715200,94675.01115
1515801600,78337.87321
1515888000,92251.14278
1515974400,97045.65122
1516060800,298922.4778
1516147200,304454.0326
1516233600,196102.3857
1516320000,125101.1731
1516406400,112602.9048
1516492800,137046.6835
1516579200,159883.8242
1516665600,160066.9373
1516752000,116169.1425
1516838400,103312.1768
1516924800,133505.1996
1517011200,90331.89011
1517097600,78289.46008
1517184000,71495.12895
1517270400,148010.0376
1517356800,119526.2398
1517443200,214268.1986
1517529600,277133.0756
1517616000,138156.688
1517702400,185200.4504
1517788800,364781.7769
1517875200,470577.4881
1517961600,253654.6028
1518048000,132097.1125
1518134400,134702.3847
1518220800,167953.1204
1518307200,142291.4479
1518393600,138366.3932
1518480000,117188.3072
1518566400,142597.5176
1518652800,174632.6095
1518739200,127606.6447
1518825600,147976.3545
1518912000,181811.1842
1518998400,133328.2222
1519084800,164752.4212
1519171200,210664.1145
1519257600,199047.0813
1519344000,169149.4303
1519430400,143348.1089
1519516800,104956.968
1519603200,135089.332
1519689600,117002.6066
1519776000,124186.4458
1519862400,107509.5463
1519948800,100341.4042
1520035200,100471.7612
1520121600,91707.11684
1520208000,95895.0136
1520294400,137285.221
1520380800,222639.0138
1520467200,206529.258
1520553600,249734.9615
1520640000,159868.8812
1520726400,182157.7881
1520812800,173263.3241
1520899200,159635.2485
1520985600,216713.0371
1521072000,204617.9483
1521158400,159259.1336
1521244800,148858.7029
1521331200,244085.9285
1521417600,201120.2877
1521504000,173239.2927
1521590400,142768.4123
1521676800,147322.0733
1521763200,133521.0917
1521849600,124265.8438
1521936000,111099.4658
1522022400,176828.1709
1522108800,145617.9044
1522195200,127190.3294
1522281600,250782.2752
1522368000,277917.2632
1522454400,181313.9244
1522540800,181823.5364
1522627200,141921.6045
1522713600,153684.8113
1522800000,163231.095
1522886400,136523.7502
1522972800,111654.2365
1523059200,108972.4006
1523145600,94009.40731
1523232000,156442.7129
1523318400,85146.6684
1523404800,94924.8059
1523491200,145552.008
1523577600,118590.6868
1523664000,76072.54164
1523750400,80674.1501
1523836800,80888.32746
1523923200,77154.218
1524009600,68329.69225
1524096000,76963.26
1524182400,106740.0761
1524268800,97500.88795
1524355200,76294.34822
1524441600,83377.05491
1524528000,145235.9977
1524614400,170908.5791
1524700800,103525.5375
1524787200,85770.58278
1524873600,96507.81434
1524960000,78101.59912
1525046400,72813.99403
1525132800,77621.20676
1525219200,73361.62376
1525305600,88107.0727
1525392000,67869.52625
1525478400,66334.91071
1525564800,66901.28414
1525651200,76565.30012
1525737600,63716.93386
1525824000,61043.2524
1525910400,84981.23613
1525996800,113617.2417
1526083200,84715.77125
1526169600,72424.42765
1526256000,93019.79482
1526342400,80712.74981
1526428800,71546.8277
1526515200,68852.27812
1526601600,54985.07838
1526688000,41310.24647
1526774400,51564.21692
1526860800,55474.01288
1526947200,68128.75796
1527033600,112649.6791
1527120000,80184.6967
1527206400,60968.06664
1527292800,44997.65306
1527379200,56652.84486
1527465600,78397.33861
1527552000,80771.04537
1527638400,72727.41856
1527724800,55003.58362
1527811200,50292.77281
1527897600,45577.58791
1527984000,52137.7613
1528070400,60262.80027
1528156800,61613.52793
1528243200,52323.54272
1528329600,46567.90273
1528416000,40612.35232
1528502400,45201.09571
1528588800,89286.38825
1528675200,58612.13465
1528761600,62645.40898
1528848000,84118.22525
1528934400,73455.61952
1529020800,45844.07482
1529107200,34655.54258
1529193600,31205.55059
1529280000,49866.86578
1529366400,39895.57961
1529452800,38670.52926
1529539200,46442.51492
1529625600,85280.63467
1529712000,45208.79552
1529798400,76140.85785
1529884800,57909.09651
1529971200,37868.52464
1530057600,35426.74915
1530144000,50532.93183
1530230400,60164.76345
1530316800,52679.74143
1530403200,43148.25947
1530489600,56390.57878
1530576000,58549.61803
1530662400,44367.64475
1530748800,56873.78454
1530835200,43521.40975
1530921600,40734.66015
1531008000,37815.20805
1531094400,50625.47974
1531180800,63069.60208
1531267200,48741.54716
1531353600,50412.31984
1531440000,40329.41965
1531526400,31593.74417
1531612800,38588.74823
1531699200,58375.57487
1531785600,91024.35302
1531872000,91896.21114
1531958400,65793.44888
1532044800,72036.42105
1532131200,42690.6307
1532217600,53043.20685
1532304000,83194.12639
1532390400,105346.6312
1532476800,73112.46953
1532563200,71486.47508
1532649600,63732.55325
1532736000,39166.68398
1532822400,41575.83508
1532908800,80918.07611
1532995200,90005.96478
1533081600,79142.86228
1533168000,66488.11095
1533254400,77186.33501
1533340800,61830.76498
1533427200,54130.34554
1533513600,58088.50222
1533600000,82042.8882
1533686400,99898.01047
1533772800,81370.77816
1533859200,94957.28984
1533945600,76120.81925
1534032000,65660.37872
1534118400,87333.53105
1534204800,89705.12313
1534291200,109651.7377
1534377600,81031.26961
1534464000,91223.9513
1534550400,72724.96148
1534636800,64044.94336
1534723200,71683.55964
1534809600,68630.29003
1534896000,108009.6523
1534982400,49284.46934
1535068800,51141.33345
1535155200,31027.80087
1535241600,31788.88948
1535328000,50510.1616
1535414400,67158.97583
1535500800,57658.74327
1535587200,58712.38431
1535673600,56792.8505
1535760000,57360.65907
1535846400,53770.46449
1535932800,46501.10091
1536019200,89874.87038
1536105600,150436.2985
1536192000,149220.7179
1536278400,113959.5398
1536364800,113102.5993
1536451200,83536.71578
1536537600,47425.2553
1536624000,47378.20985
1536710400,41821.00111
1536796800,49355.33852
1536883200,43013.87573
1536969600,28081.26324
1537056000,31419.99233
1537142400,43178.98729
1537228800,39348.89344
1537315200,49482.30753
1537401600,33228.7655
1537488000,63564.80059
1537574400,37596.92874
1537660800,36033.1753
1537747200,41974.66018
1537833600,51535.55392
1537920000,39709.04678
1538006400,40067.32251
1538092800,53009.56111
1538179200,37098.70857
1538265600,33609.14319
1538352000,28988.43023
1538438400,35914.71279
1538524800,36727.36836
1538611200,27314.07737
1538697600,23222.34082
1538784000,16190.36707
1538870400,23100.6795
1538956800,29112.07772
1539043200,20404.77267
1539129600,24508.165
1539216000,63488.98994
1539302400,36159.84635
1539388800,24652.95576
1539475200,21919.09675
1539561600,115178.055
1539648000,36224.30773
1539734400,33404.6521
