time,SP500
1/2/2018,2695.8
1/3/2018,2713.1
1/4/2018,2724
1/5/2018,2743.2
1/8/2018,2747.7
1/9/2018,2751.3
1/10/2018,2748.2
1/11/2018,2767.6
1/12/2018,2786.2
1/16/2018,2776.4
1/17/2018,2802.6
1/18/2018,2798
1/19/2018,2810.3
1/22/2018,2833
1/23/2018,2839.1
1/24/2018,2837.5
1/25/2018,2839.2
1/26/2018,2872.9
1/29/2018,2853.5
1/30/2018,2822.4
1/31/2018,2823.8
2/1/2018,2822
2/2/2018,2762.1
2/5/2018,2648.9
2/6/2018,2695.1
2/7/2018,2681.7
2/8/2018,2581
2/9/2018,2619.6
2/12/2018,2656
2/13/2018,2662.9
2/14/2018,2698.6
2/15/2018,2731.2
2/16/2018,2732.2
2/20/2018,2716.3
2/21/2018,2701.3
2/22/2018,2704
2/23/2018,2747.3
2/26/2018,2779.6
2/27/2018,2744.3
2/28/2018,2713.8
3/1/2018,2677.7
3/2/2018,2691.2
3/5/2018,2720.9
3/6/2018,2728.1
3/7/2018,2726.8
3/8/2018,2739
3/9/2018,2786.6
3/12/2018,2783
3/13/2018,2765.3
3/14/2018,2749.5
3/15/2018,2747.3
3/16/2018,2752
3/19/2018,2712.9
3/20/2018,2716.9
3/21/2018,2711.9
3/22/2018,2643.7
3/23/2018,2588.3
3/26/2018,2658.6
3/27/2018,2612.6
3/28/2018,2605
3/29/2018,2640.9
4/2/2018,2581.9
4/3/2018,2614.4
4/4/2018,2644.7
4/5/2018,2662.8
4/6/2018,2604.5
4/9/2018,2613.2
4/10/2018,2656.9
4/11/2018,2642.2
4/12/2018,2664
4/13/2018,2656.3
4/16/2018,2677.8
4/17/2018,2706.4
4/18/2018,2708.6
4/19/2018,2693.1
4/20/2018,2670.1
4/23/2018,2670.3
4/24/2018,2634.6
4/25/2018,2639.4
4/26/2018,2666.9
4/27/2018,2669.9
4/30/2018,2648.1
5/1/2018,2654.8
5/2/2018,2635.7
5/3/2018,2629.7
5/4/2018,2663.4
5/7/2018,2672.6
5/8/2018,2671.9
5/9/2018,2697.8
5/10/2018,2723.1
5/11/2018,2727.7
5/14/2018,2730.1
5/15/2018,2711.4
5/16/2018,2722.5
5/17/2018,2720.1
5/18/2018,2713
5/21/2018,2733
5/22/2018,2724.4
5/23/2018,2733.3
5/24/2018,2727.8
5/25/2018,2721.3
5/29/2018,2689.9
5/30/2018,2724
5/31/2018,2705.3
6/1/2018,2734.6
6/4/2018,2746.9
6/5/2018,2748.8
6/6/2018,2772.3
6/7/2018,2770.4
6/8/2018,2779
6/11/2018,2782
6/12/2018,2786.8
6/13/2018,2775.6
6/14/2018,2782.5
6/15/2018,2779.7
6/18/2018,2773.8
6/19/2018,2762.6
6/20/2018,2767.3
6/21/2018,2749.8
6/22/2018,2754.9
6/25/2018,2717.1
6/26/2018,2723.1
6/27/2018,2699.6
6/28/2018,2716.3
6/29/2018,2718.4
7/2/2018,2726.7
7/3/2018,2713.2
7/5/2018,2736.6
7/6/2018,2759.8
7/9/2018,2784.2
7/10/2018,2793.8
7/11/2018,2774
7/12/2018,2798.3
7/13/2018,2801.3
7/16/2018,2798.4
7/17/2018,2809.6
7/18/2018,2815.6
7/19/2018,2804.5
