time,SSR
1545609600,31.88
1545782400,30.35
1545868800,30.62
1545955200,28.94
1546214400,30.49
1546387200,30.52
1546473600,30.42
1546560000,29.66
1546819200,31.31
1546905600,30.76
1546992000,30.48
1547078400,30.47
1547164800,27.41
1547424000,25.77
1547510400,26.5
1547596800,25.73
1547683200,26.33
1547769600,26.46
1548115200,25.56
1548201600,25.89
1548288000,25.89
1548374400,25.98
1548633600,25.78
1548720000,25.01
1548806400,24.76
1548892800,25.14
1548979200,24.92
1549238400,25.1
1549324800,25.1
1549411200,25.16
1549497600,24.7
1549584000,24.66
1549843200,26.67
1549929600,26.31
1550016000,26.35
1550102400,26.24
1550188800,26.11
1550534400,28.43
1550620800,29.23
1550707200,33.12
1550793600,29.62
1551052800,28.16
1551139200,28.74
1551225600,28.64
1551312000,28.61
1551398400,28.48
1551657600,28.58
1551744000,27.88
1551830400,28.96
1551916800,29.39
1552003200,29.44
1552262400,29.71
1552348800,29.39
1552435200,29.42
1552521600,29.27
1552608000,29.34
1552867200,30.06
1552953600,30.13
1553040000,30.23
1553126400,30.5
1553212800,30.06
1553472000,29.9
1553558400,29.59
1553644800,29.63
1553731200,30.32
1553817600,30.24
1554076800,30.8
1554163200,30.99
1554249600,40.12
1554336000,40.6
1554422400,39.93
1554681600,37.46
1554768000,37.1
1554854400,35.74
1554940800,35.84
1555027200,33.42
1555286400,32.74
1555372800,31.67
1555459200,32.38
1555545600,31.92
1555891200,31.79
1555977600,32.14
1556064000,32.31
1556150400,30.23
1556236800,28.84
1556496000,28.99
1556582400,28.77
1556668800,29.2
1556755200,30.01
1556841600,30.74
1557100800,32.22
1557187200,32.11
1557273600,32.64
1557360000,33.49
1557446400,34.3
1557705600,38.65
1557792000,43.12
1557878400,43.83
1557964800,44.38
1558051200,42.72
1558310400,44.29
1558396800,42.89
1558483200,41.96
1558569600,40.17
1558656000,40.93
1559001600,44.11
1559088000,43.39
1559174400,43.14
1559260800,41.57
1559520000,43.66
1559606400,40.59
1559692800,38.13
1559779200,38.22
1559865600,37.86
1560124800,37.03
1560211200,38.38
1560297600,37.57
1560384000,38.26
1560470400,38.02
1560729600,40.85
1560816000,41.81
1560902400,40.75
1560988800,41.54
1561075200,42.52
1561334400,48.85
1561420800,49.03
1561507200,52.86
1561593600,58.14
1561680000,50.02
1561939200,47.57
1562025600,45.95
1562112000,47.41
1562284800,48.22
1562544000,48.91
1562630400,51.82
1562716800,51.95
1562803200,50.02
1562889600,46.49
1563148800,41.48
1563235200,43.88
1563321600,37.85
1563408000,38.77
1563494400,42.23
1563753600,41.68
1563840000,40.66
1563926400,38.81
1564012800,38.5
1564099200,39.09
1564358400,37.56
1564444800,37.54
1564531200,37.84
1564617600,39.67
1564704000,41.04
1564963200,43.18
1565049600,46.48
1565136000,45.15
1565222400,47.1
1565308800,46.62
1565568000,45.42
1565654400,44.86
1565740800,42.87
1565827200,39.48
1565913600,40.56
1566172800,40.61
1566259200,42.98
1566345600,42.31
1566432000,39.92
1566518400,40.02
1566777600,39.87
1566864000,40.79
1566950400,40.01
1567036800,38.79
1567123200,37.74
1567468800,41.11
1567555200,41.86
1567641600,41.68
1567728000,41.64
1567987200,40.58
1568073600,40.17
1568160000,39.23
1568246400,39.5
1568332800,40.52
1568592000,40.04
1568678400,39.9
1568764800,39.57
1568851200,39.65
1568937600,39.99
1569196800,39.19
1569283200,37.88
1569369600,33.4
1569456000,32.87
1569542400,31.47
1569801600,31.45
1569888000,32.36
1569974400,32.43
1570060800,32.64
1570147200,32
1570406400,30.29
1570492800,31.6
1570579200,31.56
1570665600,33.07
1570752000,33.23
1571011200,31.89
1571097600,32.27
1571184000,31.48
1571270400,30.9
1571356800,31.17
1571616000,31.72
1571702400,31.69
1571788800,31.01
1571875200,28.81
1571961600,28.76
1572220800,36.71
1572307200,35.54
1572393600,36.35
1572480000,35.38
1572566400,35.4
1572825600,35.56
1572912000,36.36
1572998400,36
1573084800,36.08
1573171200,35.63
1573430400,35.01
1573516800,33.8
1573603200,34.18
1573689600,33.91
1573776000,33.44
1574035200,33.02
1574121600,31.78
1574208000,31.61
1574294400,31.52
1574380800,29.67
1574640000,26.93
1574726400,27.76
1574812800,27.8
1574985600,28.82
1575244800,28.74
1575331200,28.34
1575417600,28.39
1575504000,28.08
1575590400,28.75
1575849600,29.35
1575936000,28.65
1576022400,28.14
1576108800,28.01
1576195200,27.93
1576454400,27.63
1576540800,26.77
1576627200,25.69
1576713600,28.26
1576800000,27.78
1577059200,28.88
1577145600,28.1
1577318400,27.73
1577404800,27.72
1577664000,28.51
1577750400,27.81
1577923200,27.7
1578009600,26.83
1578268800,28.35
1578355200,26.94
1578441600,28.36
1578528000,28.04
1578614400,27.56
1578873600,28.72
1578960000,28.51
1579046400,31
1579132800,30.94
1579219200,30.64
1579564800,30.39
1579651200,30.63
1579737600,30.49
1579824000,29.54
1580083200,30.17
1580169600,31.27
1580256000,32.97
1580342400,32.59
1580428800,33.42
1580688000,32.77
1580774400,32.65
1580860800,32.3
1580947200,33.84
1581033600,34.38
1581292800,35.72
1581379200,34.68
1581465600,35.98
1581552000,36.34
1581638400,35.95
1581984000,34.07
1582070400,35.69
1582156800,33.65
1582243200,33.77
1582502400,34.99
1582588800,34.01
1582675200,32.75
1582761600,30.87
1582848000,30.91
1583107200,29.95
1583193600,31.2
1583280000,30.62
1583366400,30.56
1583452800,31.69
1583712000,28.06
1583798400,27.77
1583884800,27.61
1583971200,27.72
1584057600,16.64
1584316800,18.47
1584403200,17.34
1584489600,18.16
1584576000,18.43
1584662400,21.02
1584921600,19.79
1585008000,21.94
1585094400,22.82
1585180800,22.59
1585267200,22.68
1585526400,19.88
1585612800,21.6
1585699200,16.91
1585785600,17.54
1585872000,17.92
1586131200,17.83
1586217600,18.81
1586304000,18.49
1586390400,18.85
1586736000,17.67
1586822400,17.51
1586908800,17.54
1586995200,16.91
1587081600,18.17
1587340800,18.22
1587427200,17.44
1587513600,17.49
1587600000,18.22
1587686400,19.31
1587945600,19.58
1588032000,19.77
1588118400,19.8
1588204800,22.44
1588291200,22.01
1588550400,22.78
1588636800,22.67
1588723200,23.08
1588809600,23.4
1588896000,25.53
1589155200,22.33
1589241600,21.91
1589328000,22.58
1589414400,23.81
1589500800,18.68
1589760000,18.48
1589846400,18.56
1589932800,18.69
1590019200,18.17
1590105600,17.33
1590451200,17.02
1590537600,16.82
1590624000,17.54
1590710400,18.22
1590969600,18.02
1591056000,19.43
1591142400,17.44
1591228800,17.69
1591315200,17.91
1591574400,17.82
1591660800,17.88
1591747200,17.88
1591833600,18.12
1591920000,16.98
1592179200,17.1
1592265600,17.26
1592352000,17.46
1592438400,17.34
1592524800,17.18
1592784000,17.02
1592870400,17.38
1592956800,17.3
1593043200,16.71
1593129600,16.63
1593388800,16.41
1593475200,16.53
1593561600,16.41
1593648000,16.59
1593993600,16.07
1594080000,16.54
1594166400,16.38
1594252800,16.65
1594339200,16.28
1594598400,16.35
1594684800,16.23
1594771200,16.27
1594857600,16.15
1594944000,16.05
1595203200,16.12
1595289600,16.05
1595376000,16.44
1595462400,15.51
1595548800,15.57
1595808000,16.01
1595894400,17.76
1595980800,17.56
1596067200,17.83
1596153600,17.78
1596412800,17.82
1596499200,18.06
1596585600,18.01
1596672000,18.91
1596758400,18.94
1597017600,18.68
1597104000,18.99
1597190400,18.19
1597276800,18.42
1597363200,18.71
1597622400,18.89
1597708800,19.48
1597795200,18.88
1597881600,18.54
1597968000,18.66
1598227200,18.2
1598313600,18.37
1598400000,17.66
1598486400,17.85
1598572800,17.6
1598832000,18.15
1598918400,14.12
1599004800,14.32
1599091200,13.46
1599177600,11.81
1599523200,11.73
1599609600,11.4
1599696000,11.37
1599782400,11.41
1600041600,11.14
1600128000,11.47
1600214400,11.34
1600300800,11.5
1600387200,11.37
1600646400,11.02
1600732800,10.45
1600819200,10.55
1600905600,10.24
1600992000,10.67
1601251200,10.61
1601337600,10.49
1601424000,10.6
1601510400,10.53
1601596800,10.39
1601856000,10.4
1601942400,10.44
1602028800,10.25
1602115200,10.3
1602201600,10.49
1602460800,10.8
1602547200,10.95
1602633600,10.87
1602720000,10.89
1602806400,10.98
1603065600,10.97
1603152000,11.18
1603238400,11.3
1603324800,12.08
1603411200,12.25
1603670400,12.06
1603756800,12.06
1603843200,12.55
1603929600,12.15
1604016000,12.27
1604275200,12.41
1604361600,12.22
1604448000,12.63
1604534400,12.72
1604620800,13.96
1604880000,13.63
1604966400,13.48
1605052800,13.4
1605139200,13.66
1605225600,14.14
1605484800,13.63
1605571200,14.27
1605657600,15.07
1605744000,15.11
1605830400,15.08
1606089600,15.28
1606176000,15.22
1606262400,15.75
1606435200,13.9
1606694400,14.6
1606780800,15.79
1606867200,14.88
1606953600,15.21
1607040000,15.36
1607299200,15.13
1607385600,14.94
1607472000,14.27
1607558400,14.43
1607644800,14.16
1607904000,14.72
1607990400,14.79
1608076800,14.94
1608163200,16.4
1608249600,17.36
1608508800,17.58
1608595200,17.02
1608681600,17.81
1608768000,17.26
1609113600,19.2
1609200000,19.67
1609286400,19.82
1609372800,20.86
1609718400,23.02
1609804800,21.73
1609891200,23.04
1609977600,24.62
1610064000,25.69
1610323200,23.38
1610409600,21.75
1610496000,20.93
1610582400,22.98
1610668800,23.98
1611014400,22.06
1611100800,21.62
1611187200,21
1611273600,18.15
1611532800,18.85
1611619200,18.77
1611705600,18.93
1611792000,17.52
1611878400,19.06
1612137600,18.16
1612224000,18.29
1612310400,19.23
1612396800,20.15
1612483200,19.51
1612742400,19.61
1612828800,23.33
1612915200,22.61
1613001600,21.41
1613088000,22.56
1613433600,21.54
1613520000,22.01
1613606400,23.25
1613692800,22.61
1613952000,24.12
1614038400,22.59
1614124800,20.23
1614211200,20.44
1614297600,19.34
1614556800,18.23
1614643200,19.93
1614729600,19.36
1614816000,19.94
1614902400,18.99
1615161600,19.8
1615248000,20.38
1615334400,21.16
1615420800,21.41
1615507200,21.87
1615766400,21.9
1615852800,20.5
1615939200,20.91
1616025600,21.59
1616112000,21.01
1616371200,20.46
1616457600,19.21
1616544000,19.26
1616630400,18.44
1616716800,17.88
1616976000,19.2
1617062400,19.9
1617148800,20.19
1617235200,20.17
1617580800,19.27
1617667200,19.59
1617753600,19.04
1617840000,18.33
1617926400,18.79
1618185600,19.08
1618272000,19.11
1618358400,19.95
1618444800,19.48
1618531200,19.31
1618790400,16.67
1618876800,16.49
1618963200,16.6
1619049600,15.71
1619136000,15.05
1619395200,14.15
1619481600,15.56
1619568000,15.76
1619654400,15.56
1619740800,15.15
1620000000,15.09
1620086400,15.17
1620172800,14.08
1620259200,15.03
1620345600,14.57
1620604800,14.78
1620691200,14.15
1620777600,14.02
1620864000,12.11
1620950400,12.1
1621209600,11.2
1621296000,10.52
1621382400,10.34
1621468800,8.88
1621555200,9.87
1621814400,8.31
1621900800,8.56
1621987200,8.4
1622073600,8.46
1622160000,8.23
1622505600,7.84
1622592000,7.71
1622678400,7.89
1622764800,8.23
1623024000,7.45
1623110400,6.97
1623196800,6.92
1623283200,7.72
1623369600,7.56
1623628800,7.99
1623715200,8.3
1623801600,8.22
1623888000,7.82
1623974400,7.78
1624233600,7.23
1624320000,6.39
1624406400,6.58
1624492800,6.77
1624579200,6.96
1624838400,6.96
1624924800,6.94
1625011200,7.25
1625097600,7.06
1625184000,6.76
1625529600,6.77
1625616000,6.87
1625702400,6.78
1625788800,6.58
1626048000,6.85
1626134400,6.61
1626220800,6.52
1626307200,6.53
1626393600,6.37
1626652800,6.33
1626739200,6.15
1626825600,5.93
1626912000,6.39
1626998400,6.42
1627257600,7.04
1627344000,7.43
1627430400,7.87
1627516800,7.93
1627603200,7.98
1627862400,7.88
1627948800,7.74
1628035200,7.54
1628121600,7.84
1628208000,8.05
1628467200,8.73
1628553600,9.22
1628640000,9.09
1628726400,9.08
1628812800,8.63
1629072000,9.1
1629158400,8.89
1629244800,8.61
1629331200,8.61
1629417600,9.01
1629676800,9.48
1629763200,9.51
1629849600,9.15
1629936000,9.34
1630022400,8.94
1630281600,9.28
1630368000,9.03
1630454400,8.95
1630540800,9.37
1630627200,9.3
1630972800,9.92
1631059200,8.63
1631145600,8.36
1631232000,8.64
1631491200,8.32
1631577600,8.12
1631664000,8.52
1631750400,8.99
1631836800,8.64
1632096000,8.52
1632182400,7.77
1632268800,7.29
1632355200,7.81
1632441600,8.03
1632700800,7.67
1632787200,7.48
1632873600,7.27
1632960000,7.36
1633046400,7.75
1633305600,9.03
1633392000,9.22
1633478400,9.07
1633564800,10.36
1633651200,9.45
1633910400,9.54
1633996800,10.73
1634083200,9.76
1634169600,10
1634256000,10
1634515200,10.71
1634601600,10.81
1634688000,11.24
1634774400,11.53
1634860800,10.85
1635120000,10.56
1635206400,10.96
1635292800,10.47
1635379200,10.13
1635465600,10.46
1635724800,10.52
1635811200,10.45
1635897600,10.8
1635984000,10.68
1636070400,10.38
1636329600,10.53
1636416000,11.24
1636502400,11.04
1636588800,10.68
1636675200,10.66
1636934400,10.77
1637020800,10.46
1637107200,9.9
1637193600,9.93
1637280000,9.37
1637539200,9.58
1637625600,9.16
1637712000,9.4
1637884800,9.56
1638144000,9.17
1638230400,9.24
1638316800,9.09
1638403200,9.08
1638489600,8.93
1638748800,7.61
